pair_id,repo,security_event_id,label,kind,log_loc,log_size_bytes,directory_depth,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d,file_age_days,cyclomatic_density,halstead_volume,composite_score
54,libxml2,CVE-2022-40303,1,security,9.537771863945247,12.994630000894777,0.0,6.620073206530356,3.2188758248682006,11.205911054618872,5.003946305945459,8828.364733796296,0.2167519642470987,0.2198445041452363,0.294889315452153
54,libxml2,CVE-2022-40303,0,bugfix,10.16087792924552,13.63246954242193,0.0,5.683579767338681,2.772588722239781,11.505679274631255,4.8283137373023015,7630.852523148148,0.16153846153846155,0.296289600533726,0.2937649673464412
55,libxml2,CVE-2022-40304,1,security,6.962243464266207,10.387578981099482,0.0,4.700480365792417,1.6094379124341003,8.75557997214314,3.4339872044851463,8828.36599537037,0.14312796208530806,0.0,0.28193675106270466
55,libxml2,CVE-2022-40304,0,bugfix,7.4977617006225685,11.135449967400994,0.0,4.248495242049359,2.3978952727983707,8.851377097519439,6.118097198041348,8764.7428125,0.1808097615085968,0.02240016741981048,0.2886864395700677
56,libxml2,CVE-2023-28484,1,security,10.160761962566484,13.63244552486029,0.0,5.641907070938114,1.3862943611198906,11.50492353475117,3.912023005428146,7664.808009259259,0.16128658135848764,0.296289600533726,0.29371236036777776
56,libxml2,CVE-2023-28484,0,bugfix,10.160375309814498,13.631849704713071,0.0,5.638354669333745,1.0986122886681098,11.504772318213842,3.5553480614894135,7660.759236111111,0.16131028348222917,0.296289600533726,0.2937176473179982
57,libxml2,CVE-2023-29469,1,security,7.00033446027523,10.363314575330303,0.0,4.04305126783455,0.0,7.633853559681768,0.0,7175.95699074074,0.21350364963503649,0.0,0.30208993353604546
57,libxml2,CVE-2023-29469,0,bugfix,7.523481312573497,11.140861283245814,0.0,4.02535169073515,1.791759469228055,8.772455372611907,5.958424693029782,8099.91775462963,0.17783783783783783,0.018982455888001758,0.2869564477725397
58,libxml2,CVE-2024-25062,1,security,8.54927308487965,12.01725201543636,0.0,5.375278407684165,1.9459101490553132,9.209139651399664,4.574710978503383,7726.979537037037,0.1425803951956606,0.09218409370744904,0.25661920672649396
58,libxml2,CVE-2024-25062,0,bugfix,8.488382109562117,11.90527831526539,0.0,5.176149732573829,2.772588722239781,10.193392153341007,6.90975328164481,7569.481863425926,0.11509162034177475,0.16474584264549197,0.26792478563817407
59,libxml2,CVE-2024-34459,1,security,8.159374736775426,11.542523101409172,0.0,5.683579767338681,2.302585092994046,8.918516400357067,5.762051382780177,9424.58880787037,0.16452074391988555,0.14532706340106233,0.28497947841226884
59,libxml2,CVE-2024-34459,0,bugfix,8.14002395246292,11.515472219236804,0.0,5.641907070938114,2.4849066497880004,8.87024156729927,5.043425116919247,8998.771875,0.16540256709451576,0.14408691676108704,0.2855968588717739
60,libxml2,CVE-2024-40896,1,security,9.410911062438,12.877776553671454,0.0,6.892641641172089,4.890349128221754,11.41177828296527,9.45798139489078,9477.371041666667,0.1909165302782324,0.22143191208007665,0.2922635145782686
60,libxml2,CVE-2024-40896,0,bugfix,8.014996894348302,11.554038617099993,0.0,5.981414211254481,3.5553480614894135,9.62258246436337,7.382746449738912,10083.649467592593,0.2271074380165289,0.16311770557039793,0.2951728372133847
