repo,security_commit,security_event_id,security_ground_truth_policy,bugfix_commit,n_pairs,mean_delta_composite,median_delta_composite,positive_share
php-src,7722455726bec8c53458a32851d2a87982cf0eac,CVE-2016-5766,strict_nvd_event,a36b8fdc9423b015de005f724392e34a1cb21a62,1,0.029860141523704642,0.029860141523704642,1.0
php-src,2871c70efaaaa0f102557a17c727fd4d5204dd4b,CVE-2016-1904,strict_nvd_event,26bf239e6d8e592de56ae16a7a24e3d2b1d90217,1,0.02776978304438621,0.02776978304438621,1.0
php-src,69dee5c732fe982c82edb17d0dbc3e79a47748d8,CVE-2015-9253,strict_nvd_event,6a2adcd8a4e83ee32d0c6db6dad2337df453d8b5,2,0.027246156365516416,0.027246156365516416,1.0
php-src,5b597a2e5b28e2d5a52fc1be13f425f08f47cb62,CVE-2016-5768,strict_nvd_event,afb7b97d440f124cd54d4abff588110df065dabe,1,0.026182709924329306,0.026182709924329306,1.0
php-src,b2af4e8868726a040234de113436c6e4f6372d17,CVE-2016-9936,strict_nvd_event,ff51ac161d6ccf088f5d434f914619506b8ab2b6,1,0.021641419727546296,0.021641419727546296,1.0
php-src,0da8b8b801f9276359262f1ef8274c7812d3dfda,CVE-2016-5094,strict_nvd_event,b8115d6c5e790620a808b0e385099d14708dfacd,1,0.02118796049367694,0.02118796049367694,1.0
php-src,7a1aac3343af85b4af4df5f8844946eaa27394ab,CVE-2013-7456,strict_nvd_event,789627612a487a60dfd8ee66c09d84090e22a382,1,0.019382979780987408,0.019382979780987408,1.0
php-src,23b057742e3cf199612fa8050ae86cae675e214e,CVE-2018-17082,strict_nvd_event,1a79ea47c5c92b329bcffbb28b655a42d463218e,1,0.01820751712690405,0.01820751712690405,1.0
php-src,a15bffd105ac28fd0dd9b596632dbf035238fda3,CVE-2017-11142,strict_nvd_event,c2d3734e899cd457d04f5d6ed93f467ec23fdd01,1,0.018046456814265144,0.018046456814265144,1.0
php-src,6d55ba265637d6adf0ba7e9c9ef11187d1ec2f5b,CVE-2016-7416,strict_nvd_event,9743977f920d1788a2bf5152ddd41d366d6dbf96,1,0.017365534349804534,0.017365534349804534,1.0
php-src,bab0b99f376dac9170ac81382a5ed526938d595a,CVE-2017-7272,strict_nvd_event,159ef1401cfd765f615cfe9fceb5da55185d965a,1,0.015462888918758855,0.015462888918758855,1.0
php-src,0c8a2a2cd1056b7dc403eacb5d2c0eec6ce47c6f,CVE-2016-7131,strict_nvd_event,ba0853888d8735b1d46fbe26ca7254327b1423aa,1,0.015298403864846877,0.015298403864846877,1.0
php-src,0c8a2a2cd1056b7dc403eacb5d2c0eec6ce47c6f,CVE-2016-7132,strict_nvd_event,c617afd6d6e46ebbb896bab96761df2168be82d1,1,0.015105126736144336,0.015105126736144336,1.0
php-src,72dbb7f416160f490c4e9987040989a10ad431c7,CVE-2016-7134,strict_nvd_event,254934b2ee42b6ce695d2c266da3babf188ea925,1,0.014706988684590527,0.014706988684590527,1.0
php-src,c2a13ced4272f2e65d2773e2ea6ca11c1ce4a911,CVE-2016-7133,strict_nvd_event,2f2b421a485b9b95265b591d90aaabea90d35ec9,1,0.01335883075277755,0.01335883075277755,1.0
php-src,f151e048ed27f6f4eef729f3310d053ab5da71d4,CVE-2018-15132,strict_nvd_event,376e90fbf27c23757bdda6a2a43f0330c9eebff4,1,0.012886711724292954,0.012886711724292954,1.0
php-src,6a7cc8ff85827fa9ac715b3a83c2d9147f33cd43,CVE-2016-7411,strict_nvd_event,ea69276fd55aad35e4a80452c56bf8b54de3523a,2,0.009136322747865355,0.009136322747865355,1.0
php-src,35ceea928b12373a3b1e3eecdc32ed323223a40d,CVE-2014-0185,strict_nvd_event,12920370e1806584a558799098075510a5ab3444,1,0.00902506297974609,0.00902506297974609,1.0
php-src,abd159cce48f3e34f08e4751c568e09677d5ec9c,CVE-2016-5096,strict_nvd_event,ba0853888d8735b1d46fbe26ca7254327b1423aa,1,0.008819895324927107,0.008819895324927107,1.0
php-src,5c0455bf2c8cd3c25401407f158e820aa3b239e1,CVE-2017-16642,strict_nvd_event,f4ca6d27947917df4ef62c5ef178a1a658d2aa37,1,0.007562035050190319,0.007562035050190319,1.0
php-src,8d2539fa0faf3f63e1d1e7635347c5b9e777d47b,CVE-2016-10162,strict_nvd_event,c045ba320999180af1e41d32dc398379e51a19c3,1,0.006463639625759521,0.006463639625759521,1.0
