repo,snapshot_tag,snapshot_commit,advisory_id,fixed_commit,file_path,published_at,severity_label,source_family,mapping_basis,review_decision,reviewer,notes
traefik-traefik,v2.11.0-rc2,547cd815997d6b29468dcfc6da7f2fba5655da9a,CVE-2025-47952,08d5dfee0164aa54dd44a467870042e18e8d3f00,pkg/muxer/http/mux.go,2025-05-30T03:37:12+00:00,UNKNOWN,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.11.0-rc2,547cd815997d6b29468dcfc6da7f2fba5655da9a,CVE-2025-47952,08d5dfee0164aa54dd44a467870042e18e8d3f00,pkg/server/server_entrypoint_tcp.go,2025-05-30T03:37:12+00:00,UNKNOWN,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.11.0-rc2,547cd815997d6b29468dcfc6da7f2fba5655da9a,CVE-2025-47952,08d5dfee0164aa54dd44a467870042e18e8d3f00,pkg/server/server_entrypoint_tcp_test.go,2025-05-30T03:37:12+00:00,UNKNOWN,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.11.0-rc2,547cd815997d6b29468dcfc6da7f2fba5655da9a,CVE-2025-54386,5ef853a0c53068f69a6c229a5815a0dc6e0a8800,pkg/plugins/client.go,2025-08-01T23:32:21+00:00,UNKNOWN,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.11.0-rc2,547cd815997d6b29468dcfc6da7f2fba5655da9a,CVE-2025-66491,14a1aedf5704673d875d210d7bacf103a43c77e4,nan,2025-12-09T00:38:39+00:00,MEDIUM,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.11.0-rc2,547cd815997d6b29468dcfc6da7f2fba5655da9a,CVE-2026-22045,e9f3089e9045812bcf1b410a9d40568917b26c3d,pkg/server/router/tcp/router.go,2026-01-15T22:44:05+00:00,MEDIUM,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.11.0-rc2,547cd815997d6b29468dcfc6da7f2fba5655da9a,CVE-2026-22045,e9f3089e9045812bcf1b410a9d40568917b26c3d,pkg/server/router/tcp/router_test.go,2026-01-15T22:44:05+00:00,MEDIUM,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.4.9,5841c9a7a5f6bc7de0f0c15daaafb35d02c7d330,CVE-2022-46153,7e3fe48b80083b41e9ff82a474a36484cabc701a,integration/https_test.go,2022-12-08T21:46:22+00:00,HIGH,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.4.9,5841c9a7a5f6bc7de0f0c15daaafb35d02c7d330,CVE-2022-46153,7e3fe48b80083b41e9ff82a474a36484cabc701a,integration/tcp_test.go,2022-12-08T21:46:22+00:00,HIGH,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
traefik-traefik,v2.4.9,5841c9a7a5f6bc7de0f0c15daaafb35d02c7d330,CVE-2022-46153,7e3fe48b80083b41e9ff82a474a36484cabc701a,pkg/server/router/router.go,2022-12-08T21:46:22+00:00,HIGH,reference_plus_range,osv_range+osv_ref,accept,initial_curation,Retained from supported advisory/event catalog and seeded for researcher review.
